personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,organization,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,planning,spontaneity,adventurousness,reading_habit,sports_interest,online_social_usage,travel_desire,gadget_usage,work_style_collaborative,decision_speed,stress_handling
Introvert,2.393582634,8.628621519,2.812285376,4.890210395,5.521146865,2.385872106,8.536420792,8.845097581,7.622576782,6.569745829,4.960081956,3.903497898,3.266635505,4.100336695,7.109424265,3.823615592,6.313473924,4.822741249,10,4.030506737,3.020235115,8.130268063,4.656737166,5.84873049,4.267548402,4.208451676,4.6399723,6.213717524,6.335399576
Ambivert,4.274893102,5.573432537,3.964434703,5.527586962,4.484539102,4.522380289,7.243165414,5.877028871,6.310958507,7.311020265,6.503283612,6.546892829,3.027847442,4.924287914,4.956440991,8.375367317,9.054989209,4.737668259,6.269713834,5.783776527,5.279778306,5.416874497,4.404385855,4.513437654,6.845008933,6.417490175,4.613277052,6.385954459,6.75325738
Ambivert,6.585995549,6.171241504,4.790552921,5.633742798,5.18808157,5.408252172,7.175952809,6.807985417,6.978030612,6.138167461,5.18924922,6.880211511,6.829621255,6.302016264,5.902020049,4.654049501,6.378723129,2.841919555,3.562914914,6.408237961,6.445787518,6.655714772,5.604743387,8.810815949,7.209202181,6.883344748,6.058698704,5.828278507,5.143465136
Introvert,2.570547896,8.663577085,1.081982151,8.613609462,4.517437624,1.487206795,9.223207777,5.462308153,7.62883308,7.193087657,6.852241908,1.278191884,0.081340542,7.176709725,5.885330759,1.806420491,8.139629551,5.800913226,6.672967156,1.264546887,2.911541425,6.963954506,4.807967274,5.015556273,3.208995465,3.956300769,3.614360423,3.327285944,3.194837201
Introvert,0.845022312,7.730490434,2.342108311,8.477778027,3.446393753,1.374747255,5.835098582,8.415482149,6.673377647,3.703936516,4.38381305,2.056195488,1.221117289,5.026242656,4.815212083,3.190788968,5.289962874,6.993606244,7.777585043,3.119079837,6.102262443,7.562421849,6.451468678,7.706551053,5.380238548,5.435074484,2.02036,4.836670061,5.911367155
Introvert,3.826590186,7.822495483,1.550952515,7.632254985,2.583018166,1.748300104,9.401769786,7.341441396,2.833047177,5.774662168,5.405519406,3.978259206,5.136345486,8.443061883,7.266767999,3.762802903,5.560378984,4.760109135,5.907948139,6.107744546,6.102050785,5.890253125,3.056390214,6.928315039,5.69975018,8.659714567,2.298757365,2.878266641,2.712123352
Introvert,1.191626473,8.752406732,3.51693593,6.298813364,2.578575546,2.264486699,6.179017302,10,4.702426034,6.694343281,5.949820872,2.204928513,4.249533886,6.006173081,5.45907601,4.686490071,6.097698268,5.545819738,6.094221228,4.094357799,0,6.152267622,3.677993658,6.395358541,3.729763057,5.903422064,3.642444455,3.826368437,6.480406719
Extrovert,6.270109741,6.668908396,9.35363025,4.721667498,9.800145989,8.667545212,4.425072253,5.910942863,8.06646108,7.666263885,8.331285228,8.002749524,4.780266897,6.917807937,7.579979755,6.650131648,8.934121885,4.603702588,5.917389033,8.061176619,6.43924482,5.396739577,7.541199711,8.99233013,7.107110843,7.635532782,5.521067462,7.143257282,4.439055043
Extrovert,9.788909307,1.51630328,8.613118087,5.306738408,7.197944573,6.417227668,4.725790786,4.824244394,6.575491867,7.646116928,10,7.440925866,5.099868442,6.233794964,3.127149374,6.541110183,8.595616417,6.222928216,6.017276455,7.429955122,7.010322005,3.179211708,6.159280887,8.426729408,7.302235595,8.270874147,7.827492625,8.325923226,4.762891762
Introvert,1.205490151,8.062627232,6.896617923,8.496241532,2.197022059,1.742313487,7.695116734,7.198438982,7.167603612,5.334152255,3.534553526,5.217760672,4.006111677,6.515318509,6.426625032,1.390740745,5.753412894,5.056538973,6.799472174,3.821959927,5.731603552,9.923801729,4.252245277,5.971727532,4.152943443,4.877316739,4.807265403,4.245058317,5.996069408
Extrovert,4.525332715,1.206437479,9.408295701,3.670808077,7.622093215,8.046307284,4.424872164,5.059576961,5.81281566,3.153721309,8.266999107,9.162288701,8.03552178,4.522775467,5.377634451,7.184083705,9.185328557,7.248987543,1.905891566,5.989929203,6.350718716,4.408602205,4.737546509,8.360213973,6.013281573,4.131034221,9.165190365,6.788004227,6.075863817
Introvert,3.934292227,7.968631476,4.352024676,7.444341239,3.781085786,1.911150328,7.730047937,8.973542506,8.582819788,9.522636966,5.803190735,5.144701389,2.168272736,6.894189342,10,4.343755117,6.911520871,7.077587798,8.006943254,2.487046581,3.664983163,7.907942767,1.790576568,3.560554333,4.120070729,6.339402626,7.921952451,2.918752377,9.332412722
Introvert,2.544204856,6.988908645,2.876846115,6.623401264,4.861913643,0,8.24040427,2.364196251,8.596513346,8.676010289,6.052874235,3.106985019,4.153753828,5.288980108,7.506847988,3.121075344,6.351527341,6.351384133,6.68124587,4.116051574,4.987213128,7.305715594,5.759116712,4.403999142,4.105346418,3.778626894,7.589317152,3.171653874,5.33147836
Extrovert,7.673517318,2.820140383,7.539713655,4.372605804,6.073707969,7.783771044,7.893054331,6.381290901,6.926258787,4.289494033,8.504127553,6.762860972,7.829767996,5.61594294,4.31411951,7.169559597,7.399375495,7.21275293,3.779522474,7.484700908,7.706576515,3.48398547,6.185422486,7.39995855,6.694759872,8.783776088,9.720900774,8.126261711,6.422307224
Extrovert,7.52824941,3.232965501,9.909661348,4.287558899,10,7.369011299,4.801305009,6.495424134,6.153793968,4.500028235,7.326337519,6.876047209,6.215444088,7.452443185,4.245003743,8.649531452,5.803731654,6.371752429,5.210763847,7.772122159,5.925782228,4.283905948,8.571012386,10,9.816615134,6.115133337,10,6.431252403,9.733782735
Ambivert,5.847504909,4.765913331,5.120455065,7.254314005,5.187526455,3.718403219,8.059062681,5.206427222,5.676703444,4.283906698,4.912984034,3.307151084,4.056956633,5.562006706,8.056864592,5.968170355,7.132105461,7.89137514,5.283394777,6.686426687,6.768439519,6.435011425,2.673023781,8.476422363,6.026967177,3.467134383,5.281712865,4.52237074,4.388762428
Introvert,1.870921137,5.324361986,3.052381859,7.065623544,6.590416131,2.891875845,7.070413687,8.604274305,5.866282825,5.178935591,0.863633661,2.479241356,3.760609671,6.133805074,6.30359227,0.84311581,5.870699299,5.524814431,9.147053221,4.006663328,0.849898345,9.242252576,5.902750756,2.281633142,5.223648997,7.644816555,4.328031294,2.857242018,6.519290516
Extrovert,10,5.138303516,7.74172435,4.178806721,8.304485531,9.246710855,5.667916661,7.022070408,6.021319063,2.592787212,7.25752788,8.049639364,8.6858182,5.987350748,4.216476847,6.583320912,8.866129683,6.758699358,3.69988273,6.562185105,5.054877575,1.921647781,5.107336649,6.976930392,6.533507798,8.809590833,6.138926922,4.730245529,4.122127554
Extrovert,5.78565428,4.25891547,8.809936977,2.025850731,8.850864432,8.473503695,6.510991247,6.409103013,7.208221779,4.796511691,7.124274813,6.262792006,8.317178344,6.962640788,1.755066477,10,6.465514545,5.769867734,6.169719807,6.686487815,4.131179615,4.777683381,3.887283379,5.371009585,8.456637584,6.415249884,6.582911455,9.028101893,5.718598775
Introvert,3.667312375,7.804161157,4.337291964,7.490811498,5.239359275,0.244929281,9.385574724,4.14327897,6.496878926,6.374300137,1.965147978,2.908053565,1.72289628,3.657847423,7.498909712,4.602968236,4.986127704,6.521654776,7.970911131,2.61549106,2.802050806,6.358281324,4.02573255,5.317566259,2.210877925,2.596653519,7.149123258,1.04812414,2.176761708
Extrovert,8.963181506,1.657900503,9.596491327,3.157364225,7.378401693,6.519851864,6.437353184,4.422795271,3.726474277,1.940324768,5.804627196,4.490025551,8.45299345,5.492182965,4.859168943,9.234997964,5.544060077,5.213579685,1.475520985,9.526671373,6.657390492,3.940361667,7.415100329,10,7.370603578,8.293862486,5.633264822,10,4.939731445
Introvert,1.860522359,8.127536885,2.544371593,9.586453969,1.965193213,4.043607064,7.910266162,9.932259186,7.231401436,6.452234884,4.441973933,4.565338744,2.704242542,4.218582954,6.462825296,3.914141127,7.298924869,5.234155886,8.660436125,5.05683734,2.66686462,5.656889472,6.057700295,5.227251115,4.741370869,5.182785993,8.873270973,3.539027475,3.606512371
Introvert,1.464398332,8.541483238,3.273239786,10,5.0759243,3.953180977,7.116036822,7.006323113,4.82041719,6.563506974,4.232516759,4.171405219,0.804933139,7.370351021,8.312877494,2.058271379,7.875332619,2.507820547,5.785397396,3.360837829,3.443217775,10,3.052940196,4.17188658,3.12545482,3.573732007,5.022316594,4.81127933,6.436775874
Ambivert,7.025761321,6.655017724,5.997048867,4.235472091,9.254473385,5.931176695,5.430865788,8.617003863,4.389385606,7.379954657,7.082695033,7.766423818,2.854570697,6.664553207,2.676887604,4.023037846,7.022255856,6.098738493,5.009232828,3.026116557,5.469081487,7.713605378,4.241768714,4.952428372,5.575213362,6.913853751,8.333397387,3.239314914,9.01972
Ambivert,4.013708869,6.793333247,7.69630392,7.361511737,6.01607361,3.607753542,10,4.344683993,6.057038742,6.446457366,2.754898745,6.357329892,4.18314327,7.885404845,6.718105212,0.260284961,7.263501956,7.3686724,7.627159551,8.222645496,5.779265955,5.460551856,6.988472316,5.329179563,4.30290449,4.709545371,6.591482861,5.505065184,5.788094454
Ambivert,4.590004089,7.076014458,2.820773479,7.020838029,6.085041508,6.030791025,7.31666345,5.025634061,8.813375825,4.069637465,3.507823319,6.112356641,6.093673584,5.618900717,6.424923149,5.815591202,4.211019432,6.393487982,3.733217,5.810906084,3.739274036,5.448799068,5.015594228,5.423064893,3.754476023,6.284125559,6.593180914,3.568846903,4.986477626
Introvert,4.330963444,5.388710466,3.017168179,7.176487945,4.499719595,3.994975358,9.85972023,6.278792457,8.301779687,8.365760683,6.627365304,3.066949727,5.407075688,6.624077096,5.093026084,4.659981982,5.140200102,7.390794163,4.288215717,5.297661538,2.930030959,9.641189389,2.818385546,6.083156892,2.861382862,9.071682355,7.457180312,3.834957156,5.547571695
Introvert,3.05211185,7.543035179,2.035397012,6.87236178,1.809669695,5.33156006,8.295579056,7.495186876,7.759966215,4.951004769,5.928813576,0.576595298,1.51533503,4.923055305,7.213430469,0.876530685,6.396542058,7.184717821,6.067880668,4.896316844,2.272273345,9.545720478,3.710158795,4.389680255,5.048862648,4.089176819,5.960346947,6.403386794,5.477649227
Ambivert,2.804284499,6.989651231,4.701207188,4.853353684,7.764812291,3.412010807,4.693003785,8.009452245,3.800204255,5.731245138,4.406898116,2.06759277,4.381832015,6.391647893,5.83464653,3.08167204,8.382174119,5.201229722,4.603208627,4.835692644,2.792602784,6.821806356,8.712345256,7.791118066,8.974215705,6.748071374,9.099253109,5.948461143,4.584146896
Extrovert,10,1.614552446,6.724265401,3.43391996,6.137625061,10,8.452953041,5.225480567,7.131960399,3.661981262,6.875300178,9.693071797,9.0652581,7.732494242,3.735536455,6.949165768,7.617271541,7.185273349,5.315718586,7.813860018,8.92576994,5.584957427,9.620684161,6.716143086,7.524722403,7.278657324,7.497812783,6.148943598,4.780505333
Introvert,2.204983862,9.828901366,3.808681927,7.461816958,6.243505245,0,6.391263172,9.723850796,5.464648458,8.842493908,5.453907199,3.828691474,2.047587177,5.533159511,6.421540237,3.392693674,7.006703949,6.445362242,4.899398659,2.949030188,4.023967194,8.703324452,2.009694584,5.357296465,3.092115863,3.506722904,6.67139889,3.296091055,7.982054283
Extrovert,7.395864065,5.715566423,4.323894609,3.770737789,8.391844986,10,6.533389945,6.869029653,5.189710039,3.499422532,7.939576466,6.7868437,7.136264123,4.398317961,5.157952837,6.747712141,9.608710625,4.863475035,3.720550219,6.711429791,6.152730636,4.894057411,6.339249206,8.049465644,7.417727379,7.79122098,7.546855212,8.388025822,6.89318753
Introvert,3.383676378,9.786881479,2.792316676,7.235075678,5.919611739,1.303382409,2.969509985,6.431095157,4.378007895,3.579507768,1.667451618,0.930286879,3.705804484,6.213093975,6.982054269,3.781931798,4.980468214,5.833691522,5.648688151,4.891030233,2.227734985,7.160861731,6.104805974,3.206151528,0.288759438,2.985567187,4.43766252,4.224944157,9.078875422
Ambivert,6.437615196,6.492385611,2.767685038,7.208941754,3.323439348,6.004293273,8.313955482,6.480578113,2.553525791,8.0581571,3.932719086,5.938021242,5.237923961,8.008164328,7.507549754,1.250273433,8.096769036,4.689427051,8.639783336,6.035567501,6.862411601,4.270012457,6.516239343,7.449622047,6.621762373,7.09843894,4.857868853,6.843285624,8.888358588
Introvert,5.941656437,7.328740659,1.961240136,8.763181096,5.318113007,0.323403963,8.295474429,6.887926899,6.642040087,5.836439948,2.871643192,4.316493445,1.840986249,4.872162515,9.247256392,2.786434021,3.79293453,8.172345716,5.371138342,5.764127191,0,8.457173512,2.204824274,4.569638045,3.996600547,5.210743391,5.234424912,2.439415868,5.770765921
Extrovert,5.509897776,3.422452206,7.6793851,3.740151044,8.283405675,9.627601092,5.09136844,6.007831371,5.944531685,4.998077335,6.160265345,8.449816608,7.292088131,7.374386822,5.311454527,4.442456526,8.024094831,10,5.705007233,6.93154385,7.064363221,5.376738736,7.36482614,6.543091189,7.59428171,3.414579731,7.037477228,5.982464885,5.382551209
Introvert,4.238928313,5.980858027,2.391537387,7.190840767,3.625037467,0.679092537,9.509920953,6.036383041,6.057198874,6.871397947,4.887295677,4.321492755,2.309791611,5.006007123,8.376212227,2.773624372,8.572339856,5.593935381,3.844305358,2.000095548,1.213467106,9.716822534,4.394812374,6.533152693,5.495577802,6.361709654,4.113839482,3.062636584,7.734764419
Extrovert,9.114514541,1.828334003,9.021722092,3.150795046,9.719967036,6.642588882,5.900309629,5.420270355,5.736121541,3.246059136,7.772386442,8.794643515,7.509015919,6.903060505,1.763153148,6.709177535,7.479915191,6.66268052,5.050477687,6.500185447,9.260813411,4.100241902,8.846494094,8.500932012,5.150846852,8.240787484,5.242843869,7.380723696,5.560254113
Extrovert,7.794252634,1.933794776,9.874497655,4.658127174,9.166749686,9.896204216,5.518462852,5.490105469,5.835222781,5.832840653,8.791394713,6.649582019,10,7.406466355,3.802847989,6.421995502,6.481406607,6.20276976,5.697770922,7.189819023,6.262832963,0.976377029,8.554433484,5.760351073,5.549308075,5.50011352,9.240522853,6.888871702,4.19171856
Introvert,4.180910542,8.092958861,5.937239236,8.084262517,4.266676609,0,8.809460475,6.390108865,6.041566445,6.893793239,3.763742628,2.153380436,2.203330174,7.375914397,5.382565927,2.057295155,6.408293208,7.362597335,8.970699042,3.453084425,3.039803548,7.528096847,3.082239253,4.303800199,3.120118221,6.903402726,6.932501556,2.627727591,4.346556049
Ambivert,6.901411026,4.911734102,5.488727778,6.298121749,2.752666219,3.835414521,5.951278835,6.800389068,6.104165929,5.540258823,5.43083774,5.448849065,6.972360611,5.818696365,5.223847703,6.214501299,6.334235358,3.213751263,7.753304667,1.500334133,3.012558974,5.265932355,4.995527881,3.706361495,7.327662728,5.114672317,4.480127748,5.383638875,6.464773172
Ambivert,3.427055823,5.892399935,7.241626967,7.287593541,5.519140071,7.141308848,5.935438438,7.018841287,8.91070539,5.514098244,5.731762904,3.876283162,1.951503542,6.358667214,7.043094299,4.493632051,6.901853234,7.658042027,4.991725638,6.652199454,2.009335278,5.868213315,6.294326874,4.345273858,5.849712432,7.043126775,6.764268247,5.334687307,5.384776651
Ambivert,8.124649759,6.816740237,7.695920322,5.918520913,7.359397478,5.574154502,7.249882937,6.960262643,6.270038608,3.254661547,5.485272065,5.408412834,4.658857991,5.477849139,6.37868005,4.334634944,6.959408005,7.292882009,3.616684289,4.516051657,3.04347687,6.314522644,5.727631392,4.719202112,5.314051468,4.993205125,7.682297919,4.655526187,4.526498945
Ambivert,3.16185662,4.435408686,4.78560285,8.055262651,5.060564379,6.006978252,6.382910841,7.047232389,6.388398867,6.186496889,4.537949862,2.750677899,5.433714476,4.451276628,9.476295073,6.746355931,6.21353988,4.319636317,5.337149525,5.113570492,5.304880007,4.820915927,6.895820414,7.758221253,5.619484254,7.812745037,7.985838369,5.157503792,7.230117832
Extrovert,6.297025578,3.222901639,9.849640044,0.996396544,8.455453884,7.253215242,7.288100817,5.731639314,4.680450236,6.005821152,6.742167539,6.881853469,8.790666733,5.130685281,3.190977141,4.882448575,8.402400992,4.405518261,6.566642619,5.263452228,5.675415254,5.082449246,5.3424095,7.81422474,8.018901419,9.375725019,8.908977694,5.429682426,7.413838167
Ambivert,5.10731849,4.876046515,2.236471066,4.027307365,6.976612128,2.977262371,8.43057595,6.201994819,7.065122943,4.554089531,8.920556647,6.17040822,6.2930348,8.49811963,5.785139993,4.983233146,6.612981902,4.689472304,7.230218983,6.281148365,5.339578902,5.725429786,5.501613009,6.236360039,5.837771014,7.189486959,6.542372044,4.628754951,4.791650123
Introvert,5.88741077,8.28524374,3.446558547,10,5.886974068,1.781187361,10,4.827068311,4.197032345,8.398266375,0,5.04491041,4.253736799,5.207587839,8.092436374,2.813065727,5.675772174,6.568275721,8.516719253,5.022934447,2.775919219,8.319597931,6.223711004,3.753280979,4.754149198,4.71916701,3.9272117,3.457291785,7.189424106
Introvert,2.537615055,9.029258897,5.408192153,7.403382757,4.332849637,1.189810277,8.256850699,5.967076297,6.518985185,3.186497708,5.911618749,3.398030602,2.094931241,7.493638139,8.611986806,1.698886116,4.384517071,5.088740576,4.682973266,3.165385642,4.879729529,7.950961024,5.34867013,6.027493118,3.713188692,2.404939246,3.033808932,3.924372558,5.386030622
Introvert,2.952099165,9.381853686,3.1489746,8.444388904,2.617584081,1.204949654,8.104319245,7.274298837,7.99527245,7.706234019,4.500404838,3.79968567,2.931120351,6.277327211,6.507134498,2.81254623,7.925077857,6.923764147,5.958399732,3.107048536,0.71690799,7.886776992,3.919880619,6.667597519,6.5029036,7.049019892,5.04006149,4.376490553,6.814843554
Introvert,5.148117906,9.005456179,2.714415777,9.879682722,5.856059855,1.698297872,5.978569101,6.331523091,7.314361494,6.901169223,4.057365012,3.097213301,1.933640651,6.513422168,7.28286949,2.126271705,6.16968424,8.193744008,10,2.254707695,1.947120364,7.59664806,4.487473925,6.129518166,5.776881168,0.658360556,5.490149913,2.843470379,4.841020658
Extrovert,7.549522786,3.620978443,7.706861345,4.51487403,7.639198905,8.518928597,5.923636372,4.770212109,5.303244474,7.242286546,8.347574725,8.288633195,9.643493516,7.890446508,5.297447135,6.193012542,6.213361319,8.35066073,5.164619159,5.267489724,7.39744636,3.504792374,6.697370614,5.355298545,3.380780731,5.541542853,9.000931411,9.822084713,6.333817582
Introvert,1.232344931,5.86968009,5.202696343,9.369518131,4.772462703,0.920415111,4.730516334,10,5.144145626,5.353296074,7.128316719,2.946455294,2.983112257,7.366385552,8.633218733,5.921517835,7.085351848,9.499464806,9.265740448,6.098605541,2.31769813,6.776216671,3.519514178,5.323455983,6.128119643,5.330648457,3.672378353,8.311137489,5.685050947
Ambivert,4.874147747,3.878101106,3.112481165,6.92343025,5.040783348,5.681543071,7.66230983,7.565801875,8.076121403,5.77592315,7.067170496,6.028188564,7.308956151,6.446272952,5.692041639,2.7537371,8.17657322,6.293726739,6.739635757,2.909470771,4.476171521,5.968858786,5.524970236,7.587016045,6.879641223,6.946135736,5.887425776,7.591467836,5.874983156
Extrovert,10,1.76373258,7.41349534,5.474380251,6.051262283,9.80731975,4.264518916,6.946718753,5.79628895,5.844228799,8.017451893,5.537862158,7.981774179,10,4.040993425,5.265684532,10,7.904415639,2.919760946,5.002998626,6.51844129,1.925740714,6.283550103,10,6.535963527,4.683921517,7.552276218,6.564251667,6.395792741
Introvert,3.106297496,8.53793031,4.263475562,8.739532081,2.126237935,2.739817558,4.74376961,5.409195118,6.69391596,8.930788655,1.409197919,1.459963112,4.783803976,6.77258824,5.905693274,4.160346365,4.163658191,4.688866051,8.474745495,2.218064154,1.746401166,7.754510114,5.770435756,6.784838147,0.304850911,3.730650962,5.015654293,4.240605377,6.331385231
Extrovert,10,1.063492631,8.476836644,5.096693335,10,10,5.542999397,5.56212586,7.034603991,2.893978969,8.755513564,7.361908106,7.993394234,8.777024413,3.946702333,7.653534227,8.475127251,7.267936311,5.144975742,5.360670576,7.604783865,4.648771418,7.533588209,5.319772774,7.150054817,8.417347772,8.803406403,7.141182421,7.471034783
Introvert,4.106902389,8.506283492,4.780304906,7.130099679,3.940454585,3.49864714,7.931766022,5.480764381,6.05660156,9.667846076,5.061531859,3.693373522,2.045626213,4.148448029,7.571346192,0,5.674192387,6.715101583,6.619413801,1.993822161,2.921052386,7.026232548,5.739200162,4.779724173,2.778026317,4.138548946,6.615447905,3.016984227,5.630381786
Ambivert,4.532786595,5.896703886,6.523392714,6.784621619,7.090159702,6.434966538,5.100169102,5.964718508,5.38199881,2.757434584,6.168968598,3.789604188,6.580131804,7.593342741,7.948648857,3.371533182,5.306115805,6.457274788,7.237651188,2.768869729,6.446992489,6.683421577,3.887674711,4.82240258,6.790475941,3.331218243,4.494378299,4.329991564,8.083528832
Introvert,3.076614457,5.096466342,2.292184861,7.939307676,7.093264751,1.119204416,9.152956914,7.181747615,6.650013394,6.952001862,1.818417793,3.465557322,4.536446844,4.265872752,7.701852787,5.997396452,8.762735286,7.412951462,5.308567847,1.862450589,2.67393505,9.553533325,4.2733065,5.024136098,3.082058351,3.120278072,2.531154999,4.927445932,6.383802828
Ambivert,4.220172823,3.868595767,6.372197003,5.869418324,7.404210595,6.452439196,3.032814249,7.02506288,5.513136916,6.281797326,6.34006361,3.715195089,7.072995937,8.813014622,2.826665862,7.737198025,6.123663093,7.386564442,7.721419989,4.95787693,4.02180546,5.580415139,3.684844024,5.188330334,5.701473019,8.109317669,6.011627644,4.319515792,6.300093978
Ambivert,4.497350454,7.065813362,3.52062277,3.481231844,8.848778967,5.002563441,10,7.068393578,6.70481011,3.924721927,3.712786101,4.495784714,7.609518004,5.259855619,6.336258429,5.192796113,8.31225309,6.452730589,4.263627789,5.531642514,5.626573187,7.557520271,5.803744783,6.952001815,4.926653182,7.247881443,6.135196492,4.299340723,7.357986913
Introvert,9.718626377,9.046113723,0,7.367577812,2.42214262,4.213009021,8.617468134,6.834391443,6.323641573,7.877944452,3.895002572,4.031680055,1.930701244,4.917188596,5.879768205,1.064289818,7.286721584,7.498551089,6.132846012,4.165882058,0.409114627,7.393587482,6.449334398,6.816863012,1.911485246,6.971394245,5.741017625,3.660406864,5.958014322
Introvert,4.527936765,6.724409004,2.082736194,7.798429327,4.006721836,4.479842079,6.265728313,6.44811685,6.309368613,7.058675273,4.304705042,3.352537829,0.923102297,4.948914612,8.151320052,4.511307922,6.013558669,9.314762208,5.955394377,2.662207877,3.397665088,8.972568112,3.2742073,3.292673934,4.044760233,6.678636453,5.95398564,3.307562637,5.258630577
Ambivert,6.791646984,3.947708522,5.619842569,8.333494094,4.666863279,6.335489642,5.609470386,5.67767021,8.152915586,5.652670915,4.056253557,2.63300048,7.488663877,6.244727347,5.320002289,2.434180597,8.922414742,6.556816029,7.814877278,5.250098412,1.521022511,5.467910764,6.598107571,8.936166618,8.317379887,5.565496907,6.018220543,5.799239648,7.52345807
Ambivert,4.565229527,1.824479972,4.282557112,5.581022663,4.399410917,5.353007053,6.832129887,6.521058984,5.032391001,5.367452695,6.504381829,6.861848164,7.730123231,10,7.250478154,7.587252524,6.553421093,7.059936819,4.377480035,6.08305077,6.822686355,6.921081594,5.594672534,5.339257122,4.428952683,7.708867503,5.083412157,6.524823044,6.110681219
Ambivert,7.854376099,7.706946532,5.761570598,6.424309807,5.08794567,5.543781377,6.438894377,6.781535018,6.261964459,6.436218495,5.526265851,4.534448622,6.267844168,5.78701992,8.226927675,6.685826664,4.760165514,6.97902411,6.868284009,7.068194765,6.4920558,4.80606988,3.747952493,6.400792809,5.154500831,6.009008194,7.95715557,5.700466691,5.067608313
Ambivert,7.149123403,5.561581553,5.587791118,8.063007957,4.879976684,5.345498982,6.096769089,7.402622,5.175102034,6.04109696,5.552824859,2.490279563,6.53743027,8.179302549,3.083843466,5.682717898,7.48450597,6.842860534,5.195618193,3.933865853,6.548862944,4.932989332,4.491150799,4.733678812,5.800274329,5.390418899,6.537778,4.064366784,5.500311268
