,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
emotional_stability,-0.0022466534039131784,0.7060397937439609,-0.13392162721995318,0.6700684094091083,0.1460270244107255,0.10118120478291528,0.010452371900811478,0.0037538340565826545,-0.021929557034830918,0.028983801299394017,0.0015021450738323208,-0.017523829965949686,-0.00585934852568354,0.0128242375391509,0.0015863471676601233,-0.007591865726423695,0.014142645434780906,0.003833304838300718,0.005613311115288488,-0.002386213508353928,0.009599098390954878
planning,-0.14159758439676046,-0.02267600089796608,0.019549639941895545,-0.012220977772370323,-0.003457930674255782,0.05057840518155282,-0.5957380474184168,0.13124078605409867,-0.49821328572258056,0.5556639205839468,0.1866090358008217,-0.015941834482101222,-0.01180884662719575,-0.0008308310863905065,0.003937629185586733,-0.01730460115848298,0.039499930458728336,-0.09457884041504945,-0.020738198334559827,-0.012230654479064896,-0.0002530165184458427
spontaneity,0.18678130477211718,-0.008135616137420821,0.004309616949137872,-0.006636906150544003,-0.005451652021183753,-0.011609545443282403,0.004717827435296907,0.012786425687100698,-0.043956952784311915,0.027751783134499466,-0.0646046116098424,-0.6562329216990493,-0.038185648214082143,-0.5154115694232773,-0.21479830027885508,-0.34762143932206957,0.16879529706971305,0.21748349400475298,-0.06268872888888675,-0.013365971237011196,0.021455487743129584
adventurousness,0.21541946509339746,0.00278454805346646,-0.00767967084861007,-0.004356572777710626,0.024573355911284712,-0.0069680346332906306,-0.01442056083382912,-0.01058116110310028,-0.016476185222828937,0.02664344834021908,-0.059408306449667346,0.023118555489846336,-0.019667884719858246,0.029910842254529044,0.013694881588275244,-0.01141812101324017,-0.04501432976806865,-0.2122336174725252,-0.22313803904994606,0.7351738256826894,0.3877600294166016
reading_habit,-0.21636657257933495,0.01271220725424084,0.01011274072944544,0.006483714487300701,-0.004650513364714482,0.009249764670767893,-0.006297265831004758,0.00956922602443012,0.03404784039564552,-0.013390552497076796,0.03463158977990918,-0.021659397314561922,0.038457109370923497,-0.08093536593116608,0.015462602770823727,0.03787460830220324,0.0005817312793115455,0.23104129792352465,-0.11890158056751685,0.43665186752793894,-0.26624556611626393
sports_interest,0.1889978917673866,-0.004471601878739575,-0.015203204681198913,-0.007385803553353158,-0.025191396180264072,-0.05779686337716494,0.010137011034612892,0.012440563006841963,-0.04425443464189039,0.054781837902646,-0.09904111237634197,-0.046252322530391576,-0.3195417265192409,0.16123754195955287,0.24786298533256698,0.404812199707388,0.711395664347756,0.2702079808680502,-0.03512089418449573,0.020855596483775708,-0.02887456148317203
online_social_usage,0.18527557635501055,-0.00984780388606792,-0.02277145805281427,0.018011772162565373,0.005119152597859867,-0.028113007218631653,-0.06647095729067205,0.012275705296547368,-0.022232761785245213,0.04251742222227656,-0.09205216673849397,0.6930925263968488,-0.01981129446729688,-0.16399217322007853,-0.17490524581008962,-0.4803117923148195,0.19125571540142927,0.3682662385095948,-0.0202919882108652,-0.008362607640118352,0.013596594853380193
travel_desire,0.18653046008886157,0.005729136522029994,-0.0008549011651922182,-0.001102777084891871,-0.0058491088319526895,-0.03753891982188977,-0.0337249996035281,0.0067217998283142085,-0.04094456285448571,0.035097339184830434,-0.0870942402176568,-0.06829644627752529,0.7247778980419469,0.03437857407609612,0.6095196568934294,-0.12082131150860527,0.03381849443521502,0.14919955180675135,0.013340304105182476,-0.02551310109433199,-0.03104856507166345
gadget_usage,0.14408906582070913,0.023950900177749243,-0.035187025597475156,-0.012732811916506536,0.007879092108111704,-0.03545708124942761,-0.28285994980524554,0.07749399311636325,0.800253276855287,0.31977408077172664,0.37159954099709336,-0.015287648274279522,-0.030533656526755173,-0.043865843636670794,0.05369093640564485,0.020012504417437835,-0.014048012417581258,0.03700517778523131,-0.0013697291896017174,-0.00686507368815492,-0.004012505988220352
work_style_collaborative,0.18542962388723677,0.015851190879598305,0.0025229000603117055,0.0025769859448458317,-0.007830159613694569,0.004617866555628833,-0.05264502343635945,-0.015026346253669215,-0.03285513478138313,0.08120579911264747,-0.09914430194483535,0.10889740915528455,0.4089891134392764,-0.24346552049333334,-0.4720123746043525,0.6383095920156967,-0.11901636710145125,0.229834078662845,-0.02362763276311655,-0.002441902101405452,-0.008999509216111205
decision_speed,0.1882643115905868,-0.020329357604522674,0.016816375074074665,0.005476906526475169,-0.004542493305587847,-0.019116473097635513,-0.034772241481894936,-0.0037985068312120945,-0.015899390647375,0.12765115858680093,-0.12040695098382379,-0.2417470829247616,-0.04201125306088761,0.7083405226877196,-0.2394987849185251,-0.14947422907519056,-0.2837568682265119,0.44740285156073545,0.029419288624704946,0.025996244874593843,-0.025317064856635967
stress_handling,-0.0017316171070061645,-0.3853003777644311,0.7268114257170785,0.5568487969344721,0.02227923059477038,-0.06019849143656656,-0.010578449564268982,-0.07568897260004977,0.039275137765476135,0.011391123041725765,0.016681948574386016,0.007492251841400129,-0.0014794754475027801,-0.017049029175293866,0.013005852557366363,0.011186989175903507,0.013521900802468035,-0.001128711646713939,-0.006755222258346571,-0.00017402472137869847,0.013082441378656549
personality_type_Extrovert,0.11572014712904542,0.0031786471567559213,-0.0017902517583561041,0.00247372032657992,0.0013354669523743528,-0.005103201675617176,-0.0070223626162966525,0.0013744231130156665,-0.004950653463320661,0.003369649331147183,-0.011547911968364358,-0.00017708406865267826,-0.0022492952188993306,0.002658743916358553,-0.0009965613937808803,-0.0016944912035418446,0.0019512050578614154,-0.0197905935897602,-0.0036923690799531444,-0.007409646396144963,-0.0021393965422395185
personality_type_Introvert,-0.11429256276650739,0.0027781365640237414,-7.703793819736968e-06,0.0008783901327170135,8.668706969135154e-05,0.00560261965562526,-0.0009325223742573088,0.0036169608867884155,0.005503201787144474,-0.006131548242980662,0.010562063451159759,-0.003161103776038507,0.0036360535610055755,-0.00705226441846935,0.002230309146160116,0.0018388388814472895,0.0021842560847219424,0.021455683132874274,-0.003923104919561663,-0.0026618479185173015,-0.005488962203247269
