personality_type,social_energy,alone_time_preference,talkativeness,deep_reflection,group_comfort,party_liking,listening_skill,empathy,creativity,leadership,risk_taking,public_speaking_comfort,curiosity,routine_preference,excitement_seeking,friendliness,emotional_stability,spontaneity,adventurousness,travel_desire,work_style_collaborative
Introvert,1.870921137,5.324361986,3.052381859,7.065623544,6.590416131,2.891875845,7.070413687,8.604274305,5.866282825,0.863633661,2.479241356,3.760609671,6.133805074,6.30359227,0.84311581,5.870699299,5.524814431,4.006663328,0.849898345,5.223648997,4.328031294
Extrovert,10,5.138303516,7.74172435,4.178806721,8.304485531,9.246710855,5.667916661,7.022070408,6.021319063,7.25752788,8.049639364,8.6858182,5.987350748,4.216476847,6.583320912,8.866129683,6.758699358,6.562185105,5.054877575,6.533507798,6.138926922
Extrovert,5.78565428,4.25891547,8.809936977,2.025850731,8.850864432,8.473503695,6.510991247,6.409103013,7.208221779,7.124274813,6.262792006,8.317178344,6.962640788,1.755066477,10,6.465514545,5.769867734,6.686487815,4.131179615,8.456637584,6.582911455
Introvert,3.667312375,7.804161157,4.337291964,7.490811498,5.239359275,0.244929281,9.385574724,4.14327897,6.496878926,1.965147978,2.908053565,1.72289628,3.657847423,7.498909712,4.602968236,4.986127704,6.521654776,2.61549106,2.802050806,2.210877925,7.149123258
Extrovert,8.963181506,1.657900503,9.596491327,3.157364225,7.378401693,6.519851864,6.437353184,4.422795271,3.726474277,5.804627196,4.490025551,8.45299345,5.492182965,4.859168943,9.234997964,5.544060077,5.213579685,9.526671373,6.657390492,7.370603578,5.633264822
Introvert,1.860522359,8.127536885,2.544371593,9.586453969,1.965193213,4.043607064,7.910266162,9.932259186,7.231401436,4.441973933,4.565338744,2.704242542,4.218582954,6.462825296,3.914141127,7.298924869,5.234155886,5.05683734,2.66686462,4.741370869,8.873270973
Introvert,1.464398332,8.541483238,3.273239786,10,5.0759243,3.953180977,7.116036822,7.006323113,4.82041719,4.232516759,4.171405219,0.804933139,7.370351021,8.312877494,2.058271379,7.875332619,2.507820547,3.360837829,3.443217775,3.12545482,5.022316594
Ambivert,7.025761321,6.655017724,5.997048867,4.235472091,9.254473385,5.931176695,5.430865788,8.617003863,4.389385606,7.082695033,7.766423818,2.854570697,6.664553207,2.676887604,4.023037846,7.022255856,6.098738493,3.026116557,5.469081487,5.575213362,8.333397387
Ambivert,4.013708869,6.793333247,7.69630392,7.361511737,6.01607361,3.607753542,10,4.344683993,6.057038742,2.754898745,6.357329892,4.18314327,7.885404845,6.718105212,0.260284961,7.263501956,7.3686724,8.222645496,5.779265955,4.30290449,6.591482861
Ambivert,4.590004089,7.076014458,2.820773479,7.020838029,6.085041508,6.030791025,7.31666345,5.025634061,8.813375825,3.507823319,6.112356641,6.093673584,5.618900717,6.424923149,5.815591202,4.211019432,6.393487982,5.810906084,3.739274036,3.754476023,6.593180914
Introvert,4.330963444,5.388710466,3.017168179,7.176487945,4.499719595,3.994975358,9.85972023,6.278792457,8.301779687,6.627365304,3.066949727,5.407075688,6.624077096,5.093026084,4.659981982,5.140200102,7.390794163,5.297661538,2.930030959,2.861382862,7.457180312
Introvert,3.05211185,7.543035179,2.035397012,6.87236178,1.809669695,5.33156006,8.295579056,7.495186876,7.759966215,5.928813576,0.576595298,1.51533503,4.923055305,7.213430469,0.876530685,6.396542058,7.184717821,4.896316844,2.272273345,5.048862648,5.960346947
Ambivert,2.804284499,6.989651231,4.701207188,4.853353684,7.764812291,3.412010807,4.693003785,8.009452245,3.800204255,4.406898116,2.06759277,4.381832015,6.391647893,5.83464653,3.08167204,8.382174119,5.201229722,4.835692644,2.792602784,8.974215705,9.099253109
Extrovert,10,1.614552446,6.724265401,3.43391996,6.137625061,10,8.452953041,5.225480567,7.131960399,6.875300178,9.693071797,9.0652581,7.732494242,3.735536455,6.949165768,7.617271541,7.185273349,7.813860018,8.92576994,7.524722403,7.497812783
Introvert,2.204983862,9.828901366,3.808681927,7.461816958,6.243505245,0,6.391263172,9.723850796,5.464648458,5.453907199,3.828691474,2.047587177,5.533159511,6.421540237,3.392693674,7.006703949,6.445362242,2.949030188,4.023967194,3.092115863,6.67139889
Extrovert,7.395864065,5.715566423,4.323894609,3.770737789,8.391844986,10,6.533389945,6.869029653,5.189710039,7.939576466,6.7868437,7.136264123,4.398317961,5.157952837,6.747712141,9.608710625,4.863475035,6.711429791,6.152730636,7.417727379,7.546855212
Introvert,3.383676378,9.786881479,2.792316676,7.235075678,5.919611739,1.303382409,2.969509985,6.431095157,4.378007895,1.667451618,0.930286879,3.705804484,6.213093975,6.982054269,3.781931798,4.980468214,5.833691522,4.891030233,2.227734985,0.288759438,4.43766252
Ambivert,6.437615196,6.492385611,2.767685038,7.208941754,3.323439348,6.004293273,8.313955482,6.480578113,2.553525791,3.932719086,5.938021242,5.237923961,8.008164328,7.507549754,1.250273433,8.096769036,4.689427051,6.035567501,6.862411601,6.621762373,4.857868853
Introvert,5.941656437,7.328740659,1.961240136,8.763181096,5.318113007,0.323403963,8.295474429,6.887926899,6.642040087,2.871643192,4.316493445,1.840986249,4.872162515,9.247256392,2.786434021,3.79293453,8.172345716,5.764127191,0,3.996600547,5.234424912
Extrovert,5.509897776,3.422452206,7.6793851,3.740151044,8.283405675,9.627601092,5.09136844,6.007831371,5.944531685,6.160265345,8.449816608,7.292088131,7.374386822,5.311454527,4.442456526,8.024094831,10,6.93154385,7.064363221,7.59428171,7.037477228
Introvert,4.238928313,5.980858027,2.391537387,7.190840767,3.625037467,0.679092537,9.509920953,6.036383041,6.057198874,4.887295677,4.321492755,2.309791611,5.006007123,8.376212227,2.773624372,8.572339856,5.593935381,2.000095548,1.213467106,5.495577802,4.113839482
Extrovert,9.114514541,1.828334003,9.021722092,3.150795046,9.719967036,6.642588882,5.900309629,5.420270355,5.736121541,7.772386442,8.794643515,7.509015919,6.903060505,1.763153148,6.709177535,7.479915191,6.66268052,6.500185447,9.260813411,5.150846852,5.242843869
Extrovert,7.794252634,1.933794776,9.874497655,4.658127174,9.166749686,9.896204216,5.518462852,5.490105469,5.835222781,8.791394713,6.649582019,10,7.406466355,3.802847989,6.421995502,6.481406607,6.20276976,7.189819023,6.262832963,5.549308075,9.240522853
Introvert,4.180910542,8.092958861,5.937239236,8.084262517,4.266676609,0,8.809460475,6.390108865,6.041566445,3.763742628,2.153380436,2.203330174,7.375914397,5.382565927,2.057295155,6.408293208,7.362597335,3.453084425,3.039803548,3.120118221,6.932501556
Ambivert,6.901411026,4.911734102,5.488727778,6.298121749,2.752666219,3.835414521,5.951278835,6.800389068,6.104165929,5.43083774,5.448849065,6.972360611,5.818696365,5.223847703,6.214501299,6.334235358,3.213751263,1.500334133,3.012558974,7.327662728,4.480127748
Ambivert,3.427055823,5.892399935,7.241626967,7.287593541,5.519140071,7.141308848,5.935438438,7.018841287,8.91070539,5.731762904,3.876283162,1.951503542,6.358667214,7.043094299,4.493632051,6.901853234,7.658042027,6.652199454,2.009335278,5.849712432,6.764268247
Ambivert,8.124649759,6.816740237,7.695920322,5.918520913,7.359397478,5.574154502,7.249882937,6.960262643,6.270038608,5.485272065,5.408412834,4.658857991,5.477849139,6.37868005,4.334634944,6.959408005,7.292882009,4.516051657,3.04347687,5.314051468,7.682297919
Ambivert,3.16185662,4.435408686,4.78560285,8.055262651,5.060564379,6.006978252,6.382910841,7.047232389,6.388398867,4.537949862,2.750677899,5.433714476,4.451276628,9.476295073,6.746355931,6.21353988,4.319636317,5.113570492,5.304880007,5.619484254,7.985838369
Extrovert,6.297025578,3.222901639,9.849640044,0.996396544,8.455453884,7.253215242,7.288100817,5.731639314,4.680450236,6.742167539,6.881853469,8.790666733,5.130685281,3.190977141,4.882448575,8.402400992,4.405518261,5.263452228,5.675415254,8.018901419,8.908977694
Ambivert,5.10731849,4.876046515,2.236471066,4.027307365,6.976612128,2.977262371,8.43057595,6.201994819,7.065122943,8.920556647,6.17040822,6.2930348,8.49811963,5.785139993,4.983233146,6.612981902,4.689472304,6.281148365,5.339578902,5.837771014,6.542372044
Introvert,5.88741077,8.28524374,3.446558547,10,5.886974068,1.781187361,10,4.827068311,4.197032345,0,5.04491041,4.253736799,5.207587839,8.092436374,2.813065727,5.675772174,6.568275721,5.022934447,2.775919219,4.754149198,3.9272117
Introvert,2.537615055,9.029258897,5.408192153,7.403382757,4.332849637,1.189810277,8.256850699,5.967076297,6.518985185,5.911618749,3.398030602,2.094931241,7.493638139,8.611986806,1.698886116,4.384517071,5.088740576,3.165385642,4.879729529,3.713188692,3.033808932
Introvert,2.952099165,9.381853686,3.1489746,8.444388904,2.617584081,1.204949654,8.104319245,7.274298837,7.99527245,4.500404838,3.79968567,2.931120351,6.277327211,6.507134498,2.81254623,7.925077857,6.923764147,3.107048536,0.71690799,6.5029036,5.04006149
Introvert,5.148117906,9.005456179,2.714415777,9.879682722,5.856059855,1.698297872,5.978569101,6.331523091,7.314361494,4.057365012,3.097213301,1.933640651,6.513422168,7.28286949,2.126271705,6.16968424,8.193744008,2.254707695,1.947120364,5.776881168,5.490149913
Extrovert,7.549522786,3.620978443,7.706861345,4.51487403,7.639198905,8.518928597,5.923636372,4.770212109,5.303244474,8.347574725,8.288633195,9.643493516,7.890446508,5.297447135,6.193012542,6.213361319,8.35066073,5.267489724,7.39744636,3.380780731,9.000931411
Introvert,1.232344931,5.86968009,5.202696343,9.369518131,4.772462703,0.920415111,4.730516334,10,5.144145626,7.128316719,2.946455294,2.983112257,7.366385552,8.633218733,5.921517835,7.085351848,9.499464806,6.098605541,2.31769813,6.128119643,3.672378353
Ambivert,4.874147747,3.878101106,3.112481165,6.92343025,5.040783348,5.681543071,7.66230983,7.565801875,8.076121403,7.067170496,6.028188564,7.308956151,6.446272952,5.692041639,2.7537371,8.17657322,6.293726739,2.909470771,4.476171521,6.879641223,5.887425776
Extrovert,10,1.76373258,7.41349534,5.474380251,6.051262283,9.80731975,4.264518916,6.946718753,5.79628895,8.017451893,5.537862158,7.981774179,10,4.040993425,5.265684532,10,7.904415639,5.002998626,6.51844129,6.535963527,7.552276218
Introvert,3.106297496,8.53793031,4.263475562,8.739532081,2.126237935,2.739817558,4.74376961,5.409195118,6.69391596,1.409197919,1.459963112,4.783803976,6.77258824,5.905693274,4.160346365,4.163658191,4.688866051,2.218064154,1.746401166,0.304850911,5.015654293
Extrovert,10,1.063492631,8.476836644,5.096693335,10,10,5.542999397,5.56212586,7.034603991,8.755513564,7.361908106,7.993394234,8.777024413,3.946702333,7.653534227,8.475127251,7.267936311,5.360670576,7.604783865,7.150054817,8.803406403
Introvert,4.106902389,8.506283492,4.780304906,7.130099679,3.940454585,3.49864714,7.931766022,5.480764381,6.05660156,5.061531859,3.693373522,2.045626213,4.148448029,7.571346192,0,5.674192387,6.715101583,1.993822161,2.921052386,2.778026317,6.615447905
Ambivert,4.532786595,5.896703886,6.523392714,6.784621619,7.090159702,6.434966538,5.100169102,5.964718508,5.38199881,6.168968598,3.789604188,6.580131804,7.593342741,7.948648857,3.371533182,5.306115805,6.457274788,2.768869729,6.446992489,6.790475941,4.494378299
Introvert,3.076614457,5.096466342,2.292184861,7.939307676,7.093264751,1.119204416,9.152956914,7.181747615,6.650013394,1.818417793,3.465557322,4.536446844,4.265872752,7.701852787,5.997396452,8.762735286,7.412951462,1.862450589,2.67393505,3.082058351,2.531154999
Ambivert,4.220172823,3.868595767,6.372197003,5.869418324,7.404210595,6.452439196,3.032814249,7.02506288,5.513136916,6.34006361,3.715195089,7.072995937,8.813014622,2.826665862,7.737198025,6.123663093,7.386564442,4.95787693,4.02180546,5.701473019,6.011627644
Ambivert,4.497350454,7.065813362,3.52062277,3.481231844,8.848778967,5.002563441,10,7.068393578,6.70481011,3.712786101,4.495784714,7.609518004,5.259855619,6.336258429,5.192796113,8.31225309,6.452730589,5.531642514,5.626573187,4.926653182,6.135196492
Introvert,9.718626377,9.046113723,0,7.367577812,2.42214262,4.213009021,8.617468134,6.834391443,6.323641573,3.895002572,4.031680055,1.930701244,4.917188596,5.879768205,1.064289818,7.286721584,7.498551089,4.165882058,0.409114627,1.911485246,5.741017625
Introvert,4.527936765,6.724409004,2.082736194,7.798429327,4.006721836,4.479842079,6.265728313,6.44811685,6.309368613,4.304705042,3.352537829,0.923102297,4.948914612,8.151320052,4.511307922,6.013558669,9.314762208,2.662207877,3.397665088,4.044760233,5.95398564
Ambivert,6.791646984,3.947708522,5.619842569,8.333494094,4.666863279,6.335489642,5.609470386,5.67767021,8.152915586,4.056253557,2.63300048,7.488663877,6.244727347,5.320002289,2.434180597,8.922414742,6.556816029,5.250098412,1.521022511,8.317379887,6.018220543
Ambivert,4.565229527,1.824479972,4.282557112,5.581022663,4.399410917,5.353007053,6.832129887,6.521058984,5.032391001,6.504381829,6.861848164,7.730123231,10,7.250478154,7.587252524,6.553421093,7.059936819,6.08305077,6.822686355,4.428952683,5.083412157
Ambivert,7.854376099,7.706946532,5.761570598,6.424309807,5.08794567,5.543781377,6.438894377,6.781535018,6.261964459,5.526265851,4.534448622,6.267844168,5.78701992,8.226927675,6.685826664,4.760165514,6.97902411,7.068194765,6.4920558,5.154500831,7.95715557
Ambivert,7.149123403,5.561581553,5.587791118,8.063007957,4.879976684,5.345498982,6.096769089,7.402622,5.175102034,5.552824859,2.490279563,6.53743027,8.179302549,3.083843466,5.682717898,7.48450597,6.842860534,3.933865853,6.548862944,5.800274329,6.537778
Introvert,5.822431934,10,0.209834669,6.143495907,3.119553515,0.805136629,8.82088581,6.462558844,6.233636486,1.164832606,3.716354914,3.605620931,5.588572167,7.804655088,4.915907217,7.017232261,4.956629389,5.108804438,0.271155848,4.97388453,3.238256264
Extrovert,10,2.71249337,7.190481224,3.425509614,8.131445195,6.568952287,7.969773256,5.809849065,7.702332454,9.469943874,7.468911142,7.296938239,8.512901278,4.878189484,5.41348809,8.461060867,9.242802999,5.780647935,6.407176012,6.653993729,10
Introvert,0.781366068,8.423883948,4.411556734,9.319460169,4.484852372,2.972106467,6.344233257,5.113511736,6.061380474,5.856171309,1.657858331,2.124633707,7.042761577,7.481930045,0,6.965882683,5.73369178,1.830977616,3.129393563,6.143957343,5.380330615
Ambivert,3.835240766,6.836947707,6.229771624,9.703952766,7.462692566,3.980852658,5.829897586,5.711576508,5.858329054,8.866123541,4.871211667,4.379767034,5.943417392,4.761696871,5.961945909,9.589700399,5.876035491,5.302996444,6.205361141,8.701857625,4.478862454
Extrovert,6.494318277,5.458264029,6.955318782,1.022412651,8.847583377,8.393011836,5.482238218,7.752364528,3.672362586,9.137131054,9.019391855,10,7.342162204,3.05171947,7.174561103,10,9.916863923,9.491818047,7.223797105,6.299784749,7.069872246
Extrovert,6.584089035,3.751532488,8.928353499,3.824051996,10,7.44690612,7.239419192,2.58175987,5.670446958,10,7.876832267,7.779591046,5.875624636,3.733210095,6.37551932,9.227430714,3.040117392,7.522065131,5.630577085,8.912586567,6.406256159
Introvert,3.485178546,8.003610827,5.632761345,8.942311589,7.169102092,0.564183812,8.201359254,6.888560164,5.325668313,5.007395283,5.720147836,0.99955311,5.617585305,4.398798512,2.95666614,7.948875367,4.927465718,4.182706876,5.554936591,4.4410763,5.809741774
Introvert,2.149794822,8.041936492,2.363314269,9.261595031,3.259834023,0.968046167,8.429429225,6.858084359,3.919001884,6.016960864,3.630465312,3.703108445,7.484028971,5.962448308,1.026338595,7.113577227,6.807598617,3.75792707,3.496331129,3.869454481,4.233099237
Introvert,6.108897811,6.431246597,4.112153147,10,4.380140502,5.360362105,8.515915026,6.138440582,5.358841495,3.830735267,3.327394005,2.541830756,1.627472537,6.592221994,3.572099906,6.06647668,6.920964695,5.174851997,0.727131861,6.180914003,8.490446404
Ambivert,8.357019823,4.9271757,6.375404983,5.032271603,6.030474378,3.975474064,6.392743052,3.788521949,6.348550847,8.961491527,7.120817312,3.197731014,5.208712231,4.214559279,7.04498699,9.180796132,6.13919011,3.826755847,5.506504739,4.838451773,7.310202431
Extrovert,7.990307609,3.076829227,7.283923466,3.647496682,6.472603649,7.013985677,8.842909259,5.740844847,6.888349764,5.515047022,5.859658769,5.786927302,6.018957232,3.908327929,10,7.121461336,5.680990523,4.259325818,6.300304641,5.122909414,6.033513281
Ambivert,8.432989324,7.572840813,3.800803298,3.557867323,7.375183157,3.646914622,8.293954663,7.628138055,8.444907531,5.570309903,4.769712488,8.114284852,6.930832198,4.838941199,7.10216625,10,7.164746282,4.363724777,5.266804318,3.716270409,6.495863215
Extrovert,10,2.35493521,10,4.192177631,9.238972431,8.321000801,3.464970242,6.890977049,6.249296995,6.921219713,8.158316107,6.878615953,8.547094684,5.332560281,6.651723856,6.464629264,5.101893407,5.804039611,6.524585861,5.472694049,9.12178519
Introvert,2.323940161,9.593981968,4.632936965,8.76672452,5.056344474,1.611596412,10,6.802205747,9.778305559,5.763981592,3.207018576,0.777918548,6.599516107,6.91872414,3.03298287,6.923429633,4.867416616,2.738866127,0.246757906,5.386265193,5.711492938
Ambivert,2.486176984,5.377242983,5.08293642,9.13806058,7.407109008,2.436106868,5.220819635,8.464585354,5.316429851,8.858892446,6.46556148,4.85996974,3.827391238,6.254269055,7.806715676,6.634757486,9.124337747,5.121815637,4.471291848,5.811968938,7.684175694
Ambivert,5.173047423,7.365337839,7.32031249,8.555948824,5.066703508,7.28003155,7.791235135,7.031249273,5.291921415,4.635927631,5.107793057,6.367511431,7.026454233,5.927560173,7.893521434,6.878544016,6.623609136,5.954188552,3.387045896,7.018937541,6.96868446
Extrovert,7.033066803,4.015083741,8.832287717,6.274317204,9.967310399,4.56091622,5.23904975,3.139027455,8.763160955,8.425756854,8.248148942,7.246145971,3.513992291,5.8578922,8.416375584,5.706201019,5.924382187,7.401944481,3.691294016,5.966770756,7.855860649
Ambivert,5.809758438,6.413793044,7.309319188,4.957042211,7.891222829,3.572313295,10,7.123392131,4.720296859,3.854764685,3.800755708,3.006027416,6.671196567,5.050034224,4.327515589,8.192642068,5.310999399,4.089887354,8.20368082,3.939091217,5.821871401
Extrovert,8.13384243,4.46823999,5.31123812,4.639484605,4.775870876,7.515158737,6.3595403,7.878328675,5.695216211,8.93924781,6.853033042,6.568075961,7.504169302,3.461741339,10,8.277392963,9.043545304,6.635039186,8.733290662,5.460019805,6.081210364
Extrovert,8.094526488,4.249739867,7.387562685,4.583746131,7.347084138,9.144762102,5.031922276,6.027502503,5.965955532,10,5.976527906,8.296388247,6.316146289,3.588799118,7.283937273,10,4.632053243,7.538365246,7.424855991,6.875134596,9.165494477
Extrovert,8.785527112,4.595720094,10,4.700663909,8.749275681,7.029529216,7.135314122,5.211978097,6.207044968,5.159520608,6.31560878,9.03693509,8.21173927,5.402387954,6.940489423,8.257659316,4.710780178,5.09121749,4.980285142,7.587052189,8.534125782
Introvert,1.181217079,10,6.977969565,7.936125673,8.300990534,0.973437885,6.662782628,7.659874843,4.783751744,2.112478869,0.246776914,3.218805751,6.951730096,7.156232846,3.284290682,4.6233778,7.307691989,4.282102319,2.967939715,2.648781224,3.213350832
Introvert,3.617040416,10,2.415339108,9.696386162,4.395477515,2.233445625,7.498445028,6.036046285,6.316064131,5.390414291,2.309111492,3.332541355,6.774873431,7.926886227,2.565917241,5.195629965,7.561332097,1.872516669,1.643572224,2.966840148,4.674646089
Introvert,2.34057577,8.699636351,2.38922445,7.466137409,4.509673231,1.289290182,10,5.233940664,8.17404256,5.18627112,3.888445502,5.130422698,3.890755936,7.654462827,4.611209771,6.158577687,6.339612187,1.151951501,4.204529765,3.319361595,4.097015846
Extrovert,8.2999733,2.337379712,9.024592979,4.494143346,7.620373942,5.982214864,5.051618055,4.837633869,7.220153778,8.446599821,5.251177503,10,8.564664235,2.766823138,8.865620167,6.961584455,5.72634824,8.249173794,7.658577274,8.735256778,6.760223344
Introvert,4.436114768,8.549626685,3.516390669,10,3.88495756,3.781554878,10,6.690464834,6.813676757,0.92148883,0.917605797,4.654738253,7.205488261,5.11848294,3.515760838,4.149072366,4.569239031,4.155208512,2.52783196,3.675775309,5.400752593
Extrovert,6.16340034,0.110706412,8.799922379,7.230364796,10,8.913643787,5.171485492,6.576166477,6.545998102,8.633776332,5.872390731,7.274602473,7.443148401,3.966022727,10,8.380016915,8.713231345,5.897428829,7.678056187,7.888471559,6.964076893
Ambivert,5.078059521,6.743479919,2.256573316,4.756935433,6.167737808,6.322481694,7.70002096,8.158327398,3.372302196,7.768275614,2.803274251,3.714935688,6.248580382,7.256803071,4.480155936,6.663688302,7.790769098,3.771355174,4.009851915,0.695435942,5.494875051
Introvert,2.822198649,6.409950208,2.641888613,8.825928043,6.24295221,2.278571172,8.126051918,7.667779682,4.322124924,3.273514758,5.02798199,3.126828546,6.210846737,8.025310857,3.890191357,5.773010385,5.68634258,0.25151874,2.314551709,3.187545862,4.404017179
